step,inputs/demo_proportion,inputs/low_dim_state_mean,inputs/low_dim_state_min,inputs/low_dim_state_max,inputs/timeouts,QAttentionAgent_layer0/losses/total_loss,QAttentionAgent_layer0/losses/trans_loss,QAttentionAgent_layer0/losses/rot_loss,QAttentionAgent_layer0/losses/grip_loss,QAttentionAgent_layer0/losses/collision_loss,monitoring/memory_gb,monitoring/cpu_percent
100,1.0,0.35311028361320496,0.03944194316864014,1.0,0.0,21.320959091186523,13.025495529174805,6.908932685852051,1.2848477363586426,0.1016835868358612,2.575904768,9.405
200,1.0,0.23265473544597626,0.0,0.9166666865348816,0.0,28.0258846282959,13.709257125854492,13.913939476013184,0.28435447812080383,0.11833410710096359,2.46941696,8.405
300,1.0,0.1555667519569397,0.0,0.5833333134651184,0.0,18.263896942138672,13.834593772888184,3.7503325939178467,0.5830724835395813,0.09589697420597076,2.6326671360000002,8.28
400,1.0,0.19098952412605286,0.0,0.75,0.0,22.151742935180664,12.310070037841797,9.069588661193848,0.7022285461425781,0.06985708326101303,2.4924405760000004,8.42
500,1.0,0.5198824405670166,0.03973555564880371,1.0,0.0,20.987972259521484,12.11784839630127,8.328815460205078,0.41992121934890747,0.12138672173023224,2.6643742720000003,8.48
600,1.0,0.43644994497299194,0.03951174020767212,1.0,0.0,16.92180824279785,12.240425109863281,4.154421806335449,0.46479174494743347,0.0621679350733757,2.49868288,8.42
700,1.0,0.5196527242660522,0.03918881714344025,1.0,0.0,17.245906829833984,12.670610427856445,4.17714786529541,0.2858772277832031,0.1122700423002243,2.70956544,8.47
800,1.0,0.4781051278114319,0.03945416212081909,1.0,0.0,8.360424995422363,4.039935111999512,3.908250331878662,0.37530943751335144,0.03693026676774025,2.5003950080000004,8.379999999999999
900,1.0,0.15556600689888,0.0,0.5833333134651184,0.0,16.747615814208984,13.98587417602539,2.371000289916992,0.3728480935096741,0.01789308711886406,2.6675650560000004,8.39
1000,1.0,0.5197808742523193,0.03951030969619751,1.0,0.0,20.142662048339844,11.837263107299805,7.932448387145996,0.13402751088142395,0.23892386257648468,2.4982159360000002,8.370000000000001
1100,1.0,0.19723108410835266,0.0,0.75,0.0,12.422072410583496,8.299960136413574,3.61398983001709,0.4699643850326538,0.03815846145153046,2.6680442880000004,8.315000000000001
1200,1.0,0.11389980465173721,0.0,0.4166666567325592,0.0,14.328987121582031,10.487902641296387,3.7964086532592773,0.04218093305826187,0.0024947968777269125,2.498072576,8.35
1300,1.0,0.3531107008457184,0.039439380168914795,1.0,0.0,9.160501480102539,5.307789325714111,3.3876681327819824,0.4551074206829071,0.009936039336025715,2.461167616,8.434999999999999
1400,1.0,0.4781312346458435,0.039466261863708496,1.0,0.0,13.57921028137207,5.981043815612793,6.515252113342285,0.06114564090967178,1.02176833152771,2.626347008,8.32
1500,1.0,0.09306182712316513,0.0,0.3333333432674408,0.0,12.527875900268555,9.38129711151123,2.962864637374878,0.1808321624994278,0.0028819001745432615,2.47937024,8.39
1600,1.0,0.45746752619743347,0.03987014293670654,1.0,0.0,20.47744369506836,11.088811874389648,6.688930511474609,2.4804413318634033,0.2192588597536087,2.668511232,8.455
1700,1.0,0.11389641463756561,0.0,0.4166666567325592,0.0,7.766894817352295,4.456254959106445,3.16640043258667,0.14031986892223358,0.003919420763850212,2.497159168,8.39
1800,1.0,0.49911874532699585,0.039862990379333496,1.0,0.0,18.278728485107422,9.452213287353516,6.3183393478393555,2.2655365467071533,0.24263934791088104,2.6687119360000002,8.440000000000001
